srcIata,dstIata, flights ,stage, duration 
HKG,PEK,14,1234,3
CKG,PKX,14,874,2
EWR,LAX,14,2454,5
LAX,EWR,14,2454,5
PKX,CKG,14,874,2
SMF,SAN,14,480,1
PVG,BKK,14,1797,4
CNS,BNE,14,863,2
DPS,KUL,14,1218,3
BNE,CNS,14,863,2
SAN,SMF,14,480,1
BKK,PVG,14,1797,4
KUL,DPS,14,1218,3
CGH,SSA,14,917,2
AHB,JED,14,328,1
JED,AHB,14,328,1
SSA,CGH,14,917,2
ISG,OKA,14,246,1
DAD,ICN,14,1848,4
ICN,DAD,14,1848,4
CNF,GRU,14,307,1
GRU,CNF,14,307,1
CKG,SHA,14,883,2
FRA,HAM,14,256,1
SEA,YVR,14,127,1
YVR,SEA,14,127,1
BLR,PNQ,14,447,1
HAM,FRA,14,256,1
KMG,LUM,14,281,1
LUM,KMG,14,281,1
ARN,HEL,14,248,1
HEL,ARN,14,248,1
ATL,IAH,14,689,2
IAH,ATL,14,689,2
ITM,SDJ,14,383,1
SDJ,ITM,14,383,1
SAW,ECN,14,457,1
ECN,SAW,14,457,1
HAK,SZX,14,285,1
BZE,PLJ,14,69,1
PHX,DFW,14,868,2
DFW,PHX,14,868,2
AMS,BCN,14,771,2
BCN,AMS,14,771,2
HND,OIT,14,480,1
OIT,HND,14,480,1
OKA,ISG,14,246,1
BDJ,CGK,14,588,1
SZX,HAK,14,285,1
BKK,ICN,14,2275,5
ICN,BKK,14,2275,5
LAS,SMF,14,397,1
CGH,FLN,14,302,1
CGK,BDJ,14,588,1
FLN,CGH,14,302,1
SMF,LAS,14,397,1
SCL,LIM,14,1524,3
BSZ,OSS,14,316.6476553,1
KIH,THR,14,653,1
BCN,FCO,14,528,1
FCO,BCN,14,528,1
JFK,MIA,14,1090,2
MIA,JFK,14,1090,2
BOS,PHL,14,280,1
GRU,CWB,14,223,1
CWB,GRU,14,223,1
LIM,SCL,14,1524,3
GIG,GRU,14,210,1
ARN,OSL,14,241,1
PHL,BOS,14,280,1
PNQ,BLR,14,447,1
MCO,JFK,14,944,2
ITM,KOJ,14,342,1
KOJ,ITM,14,342,1
OSL,ARN,14,241,1
JFK,MCO,14,944,2
ATL,BOS,14,946,2
BOS,ATL,14,946,2
DXB,BAH,14,303,1
BAH,DXB,14,303,1
SHA,CKG,14,883,2
GRU,GIG,14,210,1
OKA,MMY,14,176,1
MMY,OKA,14,176,1
HKG,SIN,14,1587,4
SIN,HKG,14,1587,4
THR,KIH,14,653,1
TFU,WUH,14,583,1
WLG,NSN,14,82,1
BNA,ORD,14,409,1
CUR,BON,14,47,1
DTW,ATL,14,594,1
NSN,WLG,14,82,1
WUH,TFU,14,583,1
ATL,DTW,14,594,1
ORD,BNA,14,409,1
OSS,BSZ,14,313.6258638,1
LAS,ATL,13,1747,4
BCN,MAD,13,301,1
CAN,TAO,13,983,2
ATL,LAS,13,1747,4
SNA,SFO,13,372,1
SFO,SNA,13,372,1
